,title,abstract
0,Clinicosociologic conference. Diabetes mellitus.,
1,Optometry Australia - Guidelines on the examination and management of patients with diabetes.,
2,Executive summary: Standards of medical care in diabetes--2012.,
3,[Fibrocalculous pancreatic diabetes].,
4,Is there really an epidemic of diabetes?,
5,Office guide to diagnosis and classification of diabetes mellitus and other categories of glucose intolerance.,
6,Some thoughts on the current status of treatment for diabetes mellitus.,
7,"Re: ""Diabetes mellitus in Asian Indian children and adolescents"", Nandkeoliar MK et al., JPEM 2007;20:1109-1114.",
8,Standards of medical care in diabetes--2006.,
9,The final frontier: how does diabetes affect the brain?,
